segment,start(s),end(s),bitrate(bps),bitrate(kbps),bitrate_norm
473,4.72,4.73,1315693,1315.693,0.609
474,4.73,4.74,2097930,2097.930,0.972
475,4.74,4.75,2488990,2488.990,1.153
476,4.75,4.76,2488990,2488.990,1.153
477,4.76,4.77,1977381,1977.381,0.916
478,4.77,4.78,954010,954.010,0.442
479,4.78,4.79,954010,954.010,0.442
480,4.79,4.8,954010,954.010,0.442
481,4.8,4.81,2650827,2650.827,1.228
482,4.81,4.82,2650827,2650.827,1.228
483,4.82,4.83,2650827,2650.827,1.228
484,4.83,4.84,1702105,1702.105,0.788
485,4.84,4.85,1227815,1227.815,0.569
486,4.85,4.86,1227815,1227.815,0.569
487,4.86,4.87,1872970,1872.970,0.867
488,4.87,4.88,3163472,3163.472,1.465
489,4.88,4.89,3163472,3163.472,1.465
490,4.89,4.9,3163472,3163.472,1.465
491,4.9,4.91,990250,990.250,0.459
492,4.91,4.92,990250,990.250,0.459
493,4.92,4.93,990250,990.250,0.459
494,4.93,4.94,2124184,2124.184,0.984
495,4.94,4.95,2691066,2691.066,1.246
496,4.95,4.96,2691066,2691.066,1.246
497,4.96,4.97,3426627,3426.627,1.587
498,4.97,4.98,4897969,4897.969,2.268
499,4.98,4.99,4897969,4897.969,2.268
500,4.99,5.0,4897969,4897.969,2.268
501,5.0,5.01,613926,613.926,0.284
502,5.01,5.02,613926,613.926,0.284
503,5.02,5.03,613926,613.926,0.284
504,5.03,5.04,1945634,1945.634,0.901
505,5.04,5.05,2611388,2611.388,1.209
506,5.05,5.06,2611388,2611.388,1.209
507,5.06,5.07,1967392,1967.392,0.911
508,5.07,5.08,679207,679.207,0.315
509,5.08,5.09,679207,679.207,0.315
510,5.09,5.1,679207,679.207,0.315
511,5.1,5.11,1619296,1619.296,0.75
512,5.11,5.12,1619296,1619.296,0.75
513,5.12,5.13,1619296,1619.296,0.75
514,5.13,5.14,1236852,1236.852,0.573
515,5.14,5.15,1045659,1045.659,0.484
